AreaType,Swarm,Daddy,Spitter,Leaper,Charger,Hunter,,,Squad Difficulty ,_Swarm,_Daddy,_Spitter,_Leaper,_Charger,_Hunter
Grass,10,3,,0,0,0,,,19,1,3,3,5,8,8
Grass,10,2,3,0,0,0,,,25,,,,,,
Grass,10,2,3,0,0,0,,,25,,,,,,
Grass,10,2,,0,0,0,,,16,,,,,,
Grass,10,2,,0,0,0,,,16,,,,,,
Grass,8,5,,0,0,0,,,23,,,,,,
Grass,8,3,3,0,0,0,,,26,,,,,,
Grass,8,3,3,0,0,0,,,26,,,,,,
Grass,8,3,,0,0,0,,,17,,,,,,
Grass,8,3,,0,0,0,,,17,,,,,,
Desert,12,1,,0,0,0,,,15,,,,,,
Desert,12,1,,0,0,0,,,15,,,,,,
Desert,12,,5,0,0,0,,,27,,,,,,
Desert,12,,5,0,0,0,,,27,,,,,,
Desert,12,,,0,0,0,,,12,,,,,,
Desert,9,,7,0,0,0,,,30,,,,,,
Desert,9,,7,0,0,0,,,30,,,,,,
Desert,9,,7,0,0,0,,,30,,,,,,
Desert,9,,7,0,0,0,,,30,,,,,,
Desert,9,3,,0,0,0,,,18,,,,,,
Ice,15,1,2,0,0,0,,,24,,,,,,
Ice,15,1,2,0,0,0,,,24,,,,,,
Ice,15,1,2,0,0,0,,,24,,,,,,
Ice,15,1,2,0,0,0,,,24,,,,,,
Ice,15,1,2,0,0,0,,,24,,,,,,
Ice,12,1,2,0,0,0,,,21,,,,,,
Ice,12,1,2,0,0,0,,,21,,,,,,
Ice,12,1,2,0,0,0,,,21,,,,,,
Ice,12,1,2,0,0,0,,,21,,,,,,
Ice,12,3,2,0,0,0,,,27,,,,,,
Jungle,20,2,1,0,0,0,,,29,,,,,,
Jungle,20,1,1,0,0,0,,,26,,,,,,
Jungle,20,1,1,0,0,0,,,26,,,,,,
Jungle,20,1,1,0,0,0,,,26,,,,,,
Jungle,20,1,1,0,0,0,,,26,,,,,,
Jungle,15,2,1,0,0,0,,,24,,,,,,
Jungle,15,1,1,0,0,0,,,21,,,,,,
Jungle,15,1,1,0,0,0,,,21,,,,,,
Jungle,15,1,1,0,0,0,,,21,,,,,,
Jungle,15,2,1,0,0,0,,,24,,,,,,
