AreaType,Swarm,Daddy,Spitter,Leaper,Charger,Hunter,,,Squad Difficulty ,_Swarm,_Daddy,_Spitter,_Leaper,_Charger,_Hunter
Grass,2,1,1,0,0,0,,,8,1,3,3,5,8,8
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Grass,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Desert,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Ice,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
Jungle,2,1,1,0,0,0,,,8,,,,,,
